Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1.07,1.09,1.05,1.07,64900,5.35
2015-12-30,1.09,1.11,1.07,1.07,43900,5.35
2015-12-29,1.10,1.14,1.10,1.11,39000,5.55
2015-12-28,1.17,1.17,1.11,1.12,45600,5.60
2015-12-24,1.19,1.24,1.19,1.23,31700,6.15
2015-12-23,1.19,1.23,1.16,1.21,46000,6.05
2015-12-22,1.18,1.23,1.17,1.19,42500,5.95
2015-12-21,1.21,1.23,1.17,1.18,74000,5.90
2015-12-18,1.16,1.22,1.11,1.21,192200,6.05
2015-12-17,1.06,1.12,1.03,1.06,219300,5.30
2015-12-16,0.98,1.04,0.98,1.00,95900,5.00
2015-12-15,1.03,1.03,0.97,0.99,115000,4.95
2015-12-14,1.08,1.09,1.02,1.09,73900,5.45
2015-12-11,1.17,1.21,1.15,1.15,71000,5.75
2015-12-10,1.27,1.28,1.24,1.25,68800,6.25
2015-12-09,1.29,1.34,1.27,1.28,61700,6.40
2015-12-08,1.26,1.34,1.25,1.31,44800,6.55
2015-12-07,1.37,1.37,1.26,1.28,68800,6.40
2015-12-04,1.46,1.49,1.36,1.39,103800,6.95
2015-12-03,1.51,1.52,1.46,1.47,28800,7.35
2015-12-02,1.61,1.61,1.51,1.51,75000,7.55
2015-12-01,1.73,1.75,1.69,1.73,50000,8.65
2015-11-30,1.73,1.76,1.69,1.69,74500,8.45
2015-11-27,1.65,1.77,1.65,1.74,72300,8.70
2015-11-25,1.51,1.54,1.47,1.48,85700,7.40
2015-11-24,1.55,1.56,1.46,1.51,95700,7.55
2015-11-23,1.58,1.63,1.53,1.54,132500,7.70
2015-11-20,1.63,1.63,1.52,1.54,102300,7.70
2015-11-19,1.68,1.68,1.63,1.68,46900,8.40
2015-11-18,1.73,1.73,1.61,1.68,93300,8.40
2015-11-17,1.73,1.77,1.68,1.70,88200,8.50
2015-11-16,1.76,1.77,1.72,1.75,54700,8.75
2015-11-13,1.74,1.79,1.73,1.75,49600,8.75
2015-11-12,1.76,1.81,1.75,1.75,43300,8.75
2015-11-11,1.86,1.89,1.77,1.79,63900,8.95
2015-11-10,1.92,1.95,1.88,1.91,47400,9.55
2015-11-09,1.85,1.91,1.81,1.87,34300,9.350001
2015-11-06,1.83,1.86,1.80,1.85,35000,9.25
2015-11-05,1.83,1.87,1.79,1.86,61800,9.30
2015-11-04,1.85,1.86,1.73,1.79,79200,8.95
2015-11-03,1.86,1.92,1.86,1.86,46000,9.30
2015-11-02,1.97,1.97,1.83,1.88,76300,9.40
2015-10-30,1.98,2.00,1.95,1.97,40700,9.850001
2015-10-29,1.92,2.04,1.92,1.99,63700,9.95
2015-10-28,1.95,2.00,1.92,1.98,81300,9.90
2015-10-27,2.10,2.10,1.98,2.01,122500,10.05
2015-10-26,2.32,2.32,2.13,2.17,76600,10.850001
2015-10-23,2.42,2.42,2.27,2.32,58200,11.600001
2015-10-22,2.50,2.50,2.42,2.47,95300,12.350001
2015-10-21,2.54,2.54,2.47,2.50,24800,12.50
2015-10-20,2.52,2.56,2.50,2.53,31700,12.65
2015-10-19,2.56,2.56,2.45,2.45,37200,12.25
2015-10-16,2.69,2.69,2.52,2.61,48100,13.05
2015-10-15,2.59,2.72,2.55,2.70,61200,13.50
2015-10-14,2.61,2.67,2.55,2.60,58200,13.00
2015-10-13,2.75,2.75,2.57,2.58,43900,12.90
2015-10-12,2.80,2.80,2.71,2.78,42800,13.90
2015-10-09,2.82,2.86,2.78,2.84,35100,14.20
2015-10-08,2.75,2.84,2.66,2.82,34900,14.100001
2015-10-07,2.72,2.80,2.67,2.76,43900,13.80
2015-10-06,2.67,2.74,2.66,2.71,59500,13.55
2015-10-05,2.65,2.73,2.64,2.68,52700,13.40
2015-10-02,2.45,2.70,2.44,2.67,62400,13.350001
2015-10-01,2.46,2.54,2.40,2.46,73000,12.30
2015-09-30,2.57,2.57,2.41,2.46,97200,12.30
2015-09-29,2.56,2.60,2.48,2.50,66000,12.50
2015-09-28,2.63,2.63,2.57,2.57,63100,12.850001
2015-09-25,2.80,2.82,2.66,2.66,70200,13.30
2015-09-24,2.79,2.81,2.67,2.80,42900,14.00
2015-09-23,2.90,2.92,2.78,2.83,47500,14.15
2015-09-22,2.92,2.95,2.86,2.88,39900,14.40
2015-09-21,3.13,3.13,3.04,3.06,27400,15.30
2015-09-18,3.17,3.21,3.10,3.13,66500,15.65
2015-09-17,3.05,3.16,3.04,3.12,52900,15.600001
2015-09-16,2.76,2.92,2.76,2.85,78200,14.25
2015-09-15,2.71,2.74,2.69,2.72,29100,13.600001
2015-09-14,2.84,2.84,2.72,2.73,62700,13.65
2015-09-11,2.91,2.92,2.83,2.91,43400,14.55
2015-09-10,2.88,2.96,2.88,2.95,46600,14.75
2015-09-09,3.01,3.02,2.90,2.91,38400,14.55
2015-09-08,2.93,2.98,2.89,2.92,37000,14.600001
2015-09-04,2.85,2.97,2.82,2.89,156100,14.45
2015-09-03,3.00,3.06,2.83,2.90,111300,14.50
2015-09-02,3.08,3.08,2.89,3.04,53400,15.20
2015-09-01,3.00,3.08,2.95,2.99,52900,14.95
2015-08-31,3.01,3.21,2.96,3.05,58500,15.25
2015-08-28,2.91,3.18,2.91,3.14,65700,15.70
2015-08-27,2.65,2.88,2.65,2.88,98400,14.40
2015-08-26,2.74,2.74,2.51,2.57,88600,12.850001
2015-08-25,2.79,2.81,2.56,2.57,99700,12.850001
2015-08-24,2.57,2.68,2.56,2.57,125200,12.850001
2015-08-21,3.14,3.14,2.91,2.92,152500,14.600001
2015-08-20,3.33,3.38,3.16,3.20,104100,16.00
2015-08-19,3.38,3.56,3.36,3.39,91700,16.950001
2015-08-18,3.59,3.59,3.46,3.49,47600,17.450001
2015-08-17,3.66,3.72,3.54,3.62,51300,18.100001
2015-08-14,3.60,3.61,3.50,3.60,83300,18.00
2015-08-13,3.57,3.57,3.41,3.42,94100,17.100001
2015-08-12,3.73,3.77,3.54,3.61,70800,18.05
2015-08-11,3.91,3.91,3.76,3.81,44900,19.05
2015-08-10,3.90,4.14,3.87,3.94,65200,19.700001
2015-08-07,3.95,4.04,3.88,3.91,67800,19.55
2015-08-06,4.02,4.07,3.91,4.02,45200,20.100001
2015-08-05,4.14,4.23,4.06,4.08,81700,20.40
2015-08-04,4.24,4.28,4.09,4.13,45700,20.65
2015-08-03,3.94,4.44,3.93,4.14,100600,20.700001
2015-07-31,3.96,4.00,3.79,3.89,67800,19.450001
2015-07-30,3.98,4.04,3.86,3.89,46000,19.450001
2015-07-29,4.00,4.14,3.94,4.07,67900,20.350001
2015-07-28,3.90,4.00,3.80,3.94,112700,19.700001
2015-07-27,3.92,4.00,3.85,3.90,56000,19.50
2015-07-24,4.05,4.09,3.92,4.01,63200,20.05
2015-07-23,4.26,4.26,4.03,4.12,58400,20.600001
2015-07-22,4.36,4.46,4.22,4.28,52200,21.40
2015-07-21,4.41,4.63,4.41,4.45,58400,22.25
2015-07-20,4.32,4.41,4.22,4.34,106700,21.700001
