Date,Open,High,Low,Close,Volume,Adj Close
2014-10-03,9.05,9.24,8.760001,8.95,123700,44.358144
2014-10-02,8.79,9.220001,8.60,9.03,250800,44.754639
2014-10-01,8.810001,8.87,8.66,8.760001,137400,43.416466
2014-09-30,8.96,8.96,8.70,8.85,164500,43.862522
2014-09-29,9.020001,9.17,8.80,8.95,115400,44.358144
2014-09-26,8.78,9.20,8.71,9.15,172900,45.349387
2014-09-25,9.12,9.20,8.66,8.79,158000,43.56515
2014-09-24,9.20,9.41,9.010001,9.16,124300,45.398949
2014-09-23,9.37,9.54,9.10,9.17,155500,45.44851
2014-09-22,9.91,10.00,9.14,9.39,297300,46.53888
2014-09-19,10.720001,10.75,9.83,10.00,331500,49.562172
2014-09-18,11.310001,11.310001,10.600001,10.69,218900,52.981959
2014-09-17,11.43,11.48,11.25,11.30,75300,56.005254
2014-09-16,11.470001,11.560001,11.30,11.399999,93800,56.500872
2014-09-15,11.62,12.00,10.95,11.510001,229600,57.046063
2014-09-12,12.84,12.95,12.30,12.33,99100,61.110156
2014-09-11,12.97,13.09,12.760001,12.82,101900,63.538703
2014-09-10,13.22,13.29,12.78,13.10,134900,64.926445
2014-09-09,12.720001,13.35,12.50,13.19,187500,65.372502
2014-09-08,12.30,12.75,12.220001,12.71,121200,62.99352
2014-09-05,11.78,12.310001,11.73,12.29,109500,60.91191
2014-09-04,11.74,11.920001,11.69,11.74,111000,58.185987
2014-09-03,12.32,12.350001,11.63,11.69,292200,57.938176
2014-09-02,12.24,12.350001,11.80,12.07,99900,59.82154
2014-08-29,12.25,12.37,12.05,12.260001,65700,60.763226
2014-08-28,12.43,12.43,12.07,12.24,106400,60.664095
2014-08-27,12.350001,12.649999,12.149999,12.53,158800,62.101399
2014-08-26,11.84,12.80,11.84,12.260001,246000,60.763226
2014-08-25,12.350001,12.399999,12.05,12.149999,112400,59.226791
2014-08-22,12.600001,12.600001,12.100001,12.270001,107700,59.811753
2014-08-21,12.54,12.70,12.25,12.560001,91900,61.225398
2014-08-20,12.399999,12.53,12.11,12.49,125300,60.884167
2014-08-19,12.760001,12.78,12.09,12.220001,135700,59.568021
2014-08-18,12.87,13.180001,12.399999,12.670001,145500,61.761606
2014-08-15,12.50,12.75,12.23,12.66,166300,61.712857
2014-08-14,12.69,13.09,12.21,12.36,278300,60.250467
2014-08-13,11.62,12.82,11.45,12.70,186800,61.907843
2014-08-12,11.13,11.850001,10.970001,11.53,216300,56.20452
2014-08-11,11.36,11.63,11.00,11.13,138400,54.25467
2014-08-08,10.34,11.32,10.16,11.24,159900,54.790876
2014-08-07,11.21,11.38,10.350001,10.41,163200,50.744932
2014-08-06,11.19,11.38,10.84,11.18,74200,54.498402
2014-08-05,11.16,11.36,11.149999,11.24,79700,54.790876
2014-08-04,11.350001,11.50,11.12,11.220001,57300,54.693388
2014-08-01,11.38,11.46,11.11,11.310001,59700,55.132106
2014-07-31,11.46,11.66,11.34,11.399999,80100,55.570816
2014-07-30,12.020001,12.11,11.57,11.670001,53800,56.886973
2014-07-29,11.720001,12.07,11.68,12.00,66700,58.4956
2014-07-28,12.00,12.03,11.670001,11.720001,58600,57.130705
2014-07-25,11.93,12.170001,11.75,12.03,61700,58.641837
2014-07-24,12.34,12.34,11.64,12.07,136400,58.836823
2014-07-23,13.02,13.03,12.170001,12.25,170800,59.714258
2014-07-22,13.22,13.24,13.03,13.17,92700,64.198919
2014-07-21,13.060001,13.109999,12.890001,13.05,89700,63.613965
2014-07-18,12.74,13.130001,12.74,13.09,64800,63.808947
2014-07-17,12.88,13.20,12.69,12.80,82900,62.395307
2014-07-16,12.61,13.130001,12.399999,13.09,108900,63.808947
2014-07-15,13.04,13.05,12.30,12.53,99500,61.079153
2014-07-14,13.00,13.130001,12.92,12.97,76500,63.223993
2014-07-11,12.810001,12.910001,12.57,12.85,58500,62.639038
2014-07-10,12.760001,12.890001,12.310001,12.84,108200,62.590289
2014-07-09,13.05,13.140001,12.75,12.84,116900,62.590289
